                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.23454,                0.18666,                0.86691,                0.57781,                0.33726,                0.38707,                 0.1267,                 2.6718,                 2.4278,                 3.2781,               0.003961,               0.003961,               0.003961
                    124,                0.23088,                0.18462,                 0.8634,                0.55865,                0.34904,                 0.3785,                0.10653,                 2.7302,                 2.6533,                 3.2076,              0.0039115,              0.0039115,              0.0039115
                    125,                0.22955,                0.18368,                 0.8641,                0.67672,                0.30486,                 0.3554,                0.10007,                 2.8652,                 2.4889,                 3.5328,               0.003862,               0.003862,               0.003862
                    126,                0.22993,                0.18213,                0.86496,                0.57403,                0.34168,                0.35581,                0.10513,                  2.861,                 2.3055,                 3.5051,              0.0038125,              0.0038125,              0.0038125
                    127,                0.22811,                0.18104,                0.86368,                 0.5589,                0.40494,                0.44456,                0.13671,                 2.6796,                 2.1297,                 3.4388,               0.003763,               0.003763,               0.003763
                    128,                0.23103,                0.17982,                0.86615,                0.59311,                0.31664,                0.36421,                0.10349,                 2.9438,                 2.5835,                 3.6107,              0.0037135,              0.0037135,              0.0037135
                    129,                0.22656,                0.18255,                0.86187,                0.65902,                0.32842,                0.39741,                0.10868,                 2.7498,                 2.3957,                 3.4691,               0.003664,               0.003664,               0.003664
                    130,                0.22935,                0.18306,                0.86666,                0.56374,                 0.3785,                0.41229,                0.14111,                  2.597,                  2.403,                 3.1554,              0.0036145,              0.0036145,              0.0036145
                    131,                0.22407,                0.18009,                 0.8604,                0.57113,                 0.3623,                 0.3793,                0.11218,                 2.7351,                 2.4715,                  3.276,               0.003565,               0.003565,               0.003565
                    132,                0.22943,                0.18086,                0.86616,                0.65024,                0.38144,                0.42547,                0.13809,                 2.6285,                 2.1377,                 3.1273,              0.0035155,              0.0035155,              0.0035155
                    133,                0.22059,                0.17893,                0.85938,                0.57577,                0.36778,                0.40803,                0.13291,                 2.5638,                 2.1304,                 3.0722,               0.003466,               0.003466,               0.003466
                    134,                0.22493,                0.17674,                 0.8604,                0.55021,                0.31075,                0.32248,                0.09559,                 2.6935,                 2.4907,                 3.2315,              0.0034165,              0.0034165,              0.0034165
                    135,                0.22438,                 0.1784,                0.86569,                0.63314,                0.38144,                0.42574,                0.14128,                 2.5336,                 2.3654,                 3.0743,               0.003367,               0.003367,               0.003367
                    136,                 0.2254,                0.17563,                 0.8646,                0.56312,                0.37113,                0.39438,                 0.1291,                 2.6466,                 2.3822,                 3.1357,              0.0033175,              0.0033175,              0.0033175
                    137,                0.22031,                0.17209,                0.85687,                0.57984,                0.32113,                0.35021,                 0.1108,                 2.8025,                 2.6198,                 3.1962,               0.003268,               0.003268,               0.003268
                    138,                0.22192,                0.17397,                0.86185,                0.62345,                0.35641,                0.40428,                0.13256,                 2.7158,                 2.6863,                 2.9884,              0.0032185,              0.0032185,              0.0032185
                    139,                0.21864,                0.17389,                0.85954,                0.63451,                0.37073,                0.41701,                0.13106,                  2.642,                 2.5319,                 3.0847,               0.003169,               0.003169,               0.003169
